Program,Issue,Prescriptiveness,Strictist,Change,Year,
FSC-US,Special sites,3,1,No change,2011,
FSC-US,Traditional knowledge,3,1,No change,2011,
FSC-US,Community benefit,3,1,No change,2011,
FSC-US,Right to organize,3,1,No change,2011,
FSC-US,Wages,3,1,No change,2011,
FSC-US,Health and safety,3,1,No change,2011,
FSC-US,Public reporting and consultation,3,1,No change,2011,
FSC-US,Public lands,3,1,No change,2011,
FSC-US,Tenure,3,1,No change,2011,
FSC-US,Management plan,3,1,No change,2011,
FSC-US,Impact assessment,3,1,No change,2011,
FSC-US,Monitoring,3,1,No change,2011,
FSC-US,Biotech,3,1,No change,2011,
FSC-US,Aesthetics,3,0,No change,2011,
FSC-US,Economic viability,3,1,No change,2011,
FSC-US,Forest law,3,0,No change,2011,
FSC-US,Genetic diversity ,3,1,No change,2011,
FSC-US,Public access,3,1,No change,2011,
FSC-US,Residual trees ,3,1,No change,2011,
FSC-US,Utilization,2,0,No change,2011,
FSC-US,Contual Improvement,2,0,No change,2011,
FSC-US,Training,2,0,No change,2011,
FSC-US,Education,2,0,No change,2011,
FSC-US,Carbon,3,0,No change,2011,
FSC-US,Research,1,0,No change,2011,
FSC-US,Forest extent,3,1,No change,2012,
FSC-US,Conservation Value Forests,3,1,No change,2012,
FSC-US,Protected areas,3,1,No change,2012,
FSC-US,Ecosystem function,3,1,No change,2012,
FSC-US,Old growth,3,1,No change,2012,
FSC-US,Clearcutting,3,1,No change,2012,
FSC-US,Snags and wood,3,1,No change,2012,
FSC-US,Plantations,3,1,No change,2012,
FSC-US,Species diversity,3,1,No change,2012,
FSC-US,Species at risk,3,1,No change,2012,
FSC-US,Exotics,3,1,No change,2012,
FSC-US,GMOs,3,1,No change,2012,
FSC-US,Restoration,3,1,No change,2012,
FSC-US,Natual disturbance,3,1,No change,2012,
FSC-US,Chemicals,3,1,No change,2012,
FSC-US,Timber production,3,1,No change,2012,
FSC-US,NTFP,3,1,No change,2012,
FSC-US,Ecosystem services,3,0,No change,2012,
FSC-US,Reforestation,3,0,No change,2012,
FSC-US,Soil,3,1,No change,2012,
FSC-US,Riparian ,3,1,No change,2012,
FSC-US,Roads ,3,1,No change,2012,
FSC-US,Tribal land,3,1,No change,2012,
FSC-US,Special sites,3,1,No change,2012,
FSC-US,Traditional knowledge,3,1,No change,2012,
FSC-US,Community benefit,3,1,No change,2012,
FSC-US,Right to organize,3,1,No change,2012,
FSC-US,Wages,3,1,No change,2012,
FSC-US,Health and safety,3,1,No change,2012,
FSC-US,Public reporting and consultation,3,1,No change,2012,
FSC-US,Public lands,3,1,No change,2012,
FSC-US,Tenure,3,1,No change,2012,
FSC-US,Management plan,3,1,No change,2012,
FSC-US,Impact assessment,3,1,No change,2012,
FSC-US,Monitoring,3,1,No change,2012,
FSC-US,Biotech,3,1,No change,2012,
FSC-US,Aesthetics,3,0,No change,2012,
FSC-US,Economic viability,3,1,No change,2012,
FSC-US,Forest law,3,0,No change,2012,
FSC-US,Genetic diversity ,3,1,No change,2012,
FSC-US,Public access,3,1,No change,2012,
FSC-US,Residual trees ,3,1,No change,2012,
FSC-US,Utilization,2,0,No change,2012,
FSC-US,Contual Improvement,2,0,No change,2012,
FSC-US,Training,2,0,No change,2012,
FSC-US,Education,2,0,No change,2012,
FSC-US,Carbon,3,0,No change,2012,
FSC-US,Research,1,0,No change,2012,
FSC-US,Forest extent,3,1,No change,2013,
FSC-US,Conservation Value Forests,3,1,No change,2013,
FSC-US,Protected areas,3,1,No change,2013,
FSC-US,Ecosystem function,3,1,No change,2013,
FSC-US,Old growth,3,1,No change,2013,
FSC-US,Clearcutting,3,1,No change,2013,
FSC-US,Snags and wood,3,1,No change,2013,
FSC-US,Plantations,3,1,No change,2013,
FSC-US,Species diversity,3,1,No change,2013,
FSC-US,Species at risk,3,1,No change,2013,
FSC-US,Exotics,3,1,No change,2013,
FSC-US,GMOs,3,1,No change,2013,
FSC-US,Restoration,3,1,No change,2013,
FSC-US,Natual disturbance,3,1,No change,2013,
FSC-US,Chemicals,3,1,No change,2013,
FSC-US,Timber production,3,1,No change,2013,
FSC-US,NTFP,3,1,No change,2013,
FSC-US,Ecosystem services,3,0,No change,2013,
FSC-US,Reforestation,3,0,No change,2013,
FSC-US,Soil,3,1,No change,2013,
FSC-US,Riparian ,3,1,No change,2013,
FSC-US,Roads ,3,1,No change,2013,
FSC-US,Tribal land,3,1,No change,2013,
FSC-US,Special sites,3,1,No change,2013,
FSC-US,Traditional knowledge,3,1,No change,2013,
FSC-US,Community benefit,3,1,No change,2013,
FSC-US,Right to organize,3,1,No change,2013,
FSC-US,Wages,3,1,No change,2013,
FSC-US,Health and safety,3,1,No change,2013,
FSC-US,Public reporting and consultation,3,1,No change,2013,
FSC-US,Public lands,3,1,No change,2013,
FSC-US,Tenure,3,1,No change,2013,
FSC-US,Management plan,3,1,No change,2013,
FSC-US,Impact assessment,3,1,No change,2013,
FSC-US,Monitoring,3,1,No change,2013,
FSC-US,Biotech,3,1,No change,2013,
FSC-US,Aesthetics,3,0,No change,2013,
FSC-US,Economic viability,3,1,No change,2013,
FSC-US,Forest law,3,0,No change,2013,
FSC-US,Genetic diversity ,3,1,No change,2013,
FSC-US,Public access,3,1,No change,2013,
FSC-US,Residual trees ,3,1,No change,2013,
FSC-US,Utilization,2,0,No change,2013,
FSC-US,Contual Improvement,2,0,No change,2013,
FSC-US,Training,2,0,No change,2013,
FSC-US,Education,2,0,No change,2013,
FSC-US,Carbon,3,0,No change,2013,
FSC-US,Research,1,0,No change,2013,
FSC-US,Forest extent,3,1,No change,2014,
FSC-US,Conservation Value Forests,3,1,No change,2014,
FSC-US,Protected areas,3,1,No change,2014,
FSC-US,Ecosystem function,3,1,No change,2014,
FSC-US,Old growth,3,1,No change,2014,
FSC-US,Clearcutting,3,1,No change,2014,
FSC-US,Snags and wood,3,1,No change,2014,
FSC-US,Plantations,3,1,No change,2014,
FSC-US,Species diversity,3,1,No change,2014,
FSC-US,Species at risk,3,1,No change,2014,
FSC-US,Exotics,3,1,No change,2014,
FSC-US,GMOs,3,1,No change,2014,
FSC-US,Restoration,3,1,No change,2014,
FSC-US,Natual disturbance,3,1,No change,2014,
FSC-US,Chemicals,3,1,No change,2014,
FSC-US,Timber production,3,1,No change,2014,
FSC-US,NTFP,3,1,No change,2014,
FSC-US,Ecosystem services,3,0,No change,2014,
FSC-US,Reforestation,3,0,No change,2014,
FSC-US,Soil,3,1,No change,2014,
FSC-US,Riparian ,3,1,No change,2014,
FSC-US,Roads ,3,1,No change,2014,
FSC-US,Tribal land,3,1,No change,2014,
FSC-US,Special sites,3,1,No change,2014,
FSC-US,Traditional knowledge,3,1,No change,2014,
FSC-US,Community benefit,3,1,No change,2014,
FSC-US,Right to organize,3,1,No change,2014,
FSC-US,Wages,3,1,No change,2014,
FSC-US,Health and safety,3,1,No change,2014,
FSC-US,Public reporting and consultation,3,1,No change,2014,
FSC-US,Public lands,3,1,No change,2014,
FSC-US,Tenure,3,1,No change,2014,
FSC-US,Management plan,3,1,No change,2014,
FSC-US,Impact assessment,3,1,No change,2014,
FSC-US,Monitoring,3,1,No change,2014,
FSC-US,Biotech,3,1,No change,2014,
FSC-US,Aesthetics,3,0,No change,2014,
FSC-US,Economic viability,3,1,No change,2014,
FSC-US,Forest law,3,0,No change,2014,
FSC-US,Genetic diversity ,3,1,No change,2014,
FSC-US,Public access,3,1,No change,2014,
FSC-US,Residual trees ,3,1,No change,2014,
FSC-US,Utilization,2,0,No change,2014,
FSC-US,Contual Improvement,2,0,No change,2014,
FSC-US,Training,2,0,No change,2014,
FSC-US,Education,2,0,No change,2014,
FSC-US,Carbon,3,0,No change,2014,
FSC-US,Research,1,0,No change,2014,
FSC-US,Forest extent,3,1,No change,2015,
FSC-US,Conservation Value Forests,3,1,No change,2015,
FSC-US,Protected areas,3,1,No change,2015,
FSC-US,Ecosystem function,3,1,No change,2015,
FSC-US,Old growth,3,1,No change,2015,
FSC-US,Clearcutting,3,1,No change,2015,
FSC-US,Snags and wood,3,1,No change,2015,
FSC-US,Plantations,3,1,No change,2015,
FSC-US,Species diversity,3,1,No change,2015,
FSC-US,Species at risk,3,1,No change,2015,
FSC-US,Exotics,3,1,No change,2015,
FSC-US,GMOs,3,1,No change,2015,
FSC-US,Restoration,3,1,No change,2015,
FSC-US,Natual disturbance,3,1,No change,2015,
FSC-US,Chemicals,3,1,No change,2015,
FSC-US,Timber production,3,1,No change,2015,
FSC-US,NTFP,3,1,No change,2015,
FSC-US,Ecosystem services,3,0,No change,2015,
FSC-US,Reforestation,3,0,No change,2015,
FSC-US,Soil,3,1,No change,2015,
FSC-US,Riparian ,3,1,No change,2015,
FSC-US,Roads ,3,1,No change,2015,
FSC-US,Tribal land,3,1,No change,2015,
FSC-US,Special sites,3,1,No change,2015,
FSC-US,Traditional knowledge,3,1,No change,2015,
FSC-US,Community benefit,3,1,No change,2015,
FSC-US,Right to organize,3,1,No change,2015,
FSC-US,Wages,3,1,No change,2015,
FSC-US,Health and safety,3,1,No change,2015,
FSC-US,Public reporting and consultation,3,1,No change,2015,
FSC-US,Public lands,3,1,No change,2015,
FSC-US,Tenure,3,1,No change,2015,
FSC-US,Management plan,3,1,No change,2015,
FSC-US,Impact assessment,3,1,No change,2015,
FSC-US,Monitoring,3,1,No change,2015,
FSC-US,Biotech,3,1,No change,2015,
FSC-US,Aesthetics,3,0,No change,2015,
FSC-US,Economic viability,3,1,No change,2015,
FSC-US,Forest law,3,0,No change,2015,
FSC-US,Genetic diversity ,3,1,No change,2015,
FSC-US,Public access,3,1,No change,2015,
FSC-US,Residual trees ,3,1,No change,2015,
FSC-US,Utilization,2,0,No change,2015,
FSC-US,Contual Improvement,2,0,No change,2015,
FSC-US,Training,2,0,No change,2015,
FSC-US,Education,2,0,No change,2015,
FSC-US,Carbon,3,0,No change,2015,
FSC-US,Research,1,0,No change,2015,
FSC-US,Forest extent,3,1,No change,2016,
FSC-US,Conservation Value Forests,3,1,No change,2016,
FSC-US,Protected areas,3,1,No change,2016,
FSC-US,Ecosystem function,3,1,No change,2016,
FSC-US,Old growth,3,1,No change,2016,
FSC-US,Clearcutting,3,1,No change,2016,
FSC-US,Snags and wood,3,1,No change,2016,
FSC-US,Plantations,3,1,No change,2016,
FSC-US,Species diversity,3,1,No change,2016,
FSC-US,Species at risk,3,1,No change,2016,
FSC-US,Exotics,3,1,No change,2016,
FSC-US,GMOs,3,1,No change,2016,
FSC-US,Restoration,3,1,No change,2016,
FSC-US,Natual disturbance,3,1,No change,2016,
FSC-US,Chemicals,3,1,No change,2016,
FSC-US,Timber production,3,1,No change,2016,
FSC-US,NTFP,3,1,No change,2016,
FSC-US,Ecosystem services,3,0,No change,2016,
FSC-US,Reforestation,3,0,No change,2016,
FSC-US,Soil,3,1,No change,2016,
FSC-US,Riparian ,3,1,No change,2016,
FSC-US,Roads ,3,1,No change,2016,
FSC-US,Tribal land,3,1,No change,2016,
FSC-US,Special sites,3,1,No change,2016,
FSC-US,Traditional knowledge,3,1,No change,2016,
FSC-US,Community benefit,3,1,No change,2016,
FSC-US,Right to organize,3,1,No change,2016,
FSC-US,Wages,3,1,No change,2016,
FSC-US,Health and safety,3,1,No change,2016,
FSC-US,Public reporting and consultation,3,1,No change,2016,
FSC-US,Public lands,3,1,No change,2016,
FSC-US,Tenure,3,1,No change,2016,
FSC-US,Management plan,3,1,No change,2016,
FSC-US,Impact assessment,3,1,No change,2016,
FSC-US,Monitoring,3,1,No change,2016,
FSC-US,Biotech,3,1,No change,2016,
FSC-US,Aesthetics,3,0,No change,2016,
FSC-US,Economic viability,3,1,No change,2016,
FSC-US,Forest law,3,0,No change,2016,
FSC-US,Genetic diversity ,3,1,No change,2016,
FSC-US,Public access,3,1,No change,2016,
FSC-US,Residual trees ,3,1,No change,2016,
FSC-US,Utilization,2,0,No change,2016,
FSC-US,Contual Improvement,2,0,No change,2016,
FSC-US,Training,2,0,No change,2016,
FSC-US,Education,2,0,No change,2016,
FSC-US,Carbon,3,0,No change,2016,
FSC-US,Research,1,0,No change,2016,
SFI,Reforestation,3,0,No change,2008,
SFI,Forest law,3,0,No change,2008,
SFI,Utilization,3,1,No change,2008,
SFI,Education,3,1,No change,2008,
SFI,Aesthetics,3,0,No change,2008,
SFI,Training,3,1,No change,2008,
SFI,Ecosystem services,3,0,No change,2008,
SFI,Contual Improvement,3,1,No change,2008,
SFI,Research,3,1,No change,2008,
SFI,Riparian ,3,0,No change,2008,
SFI,Soil,3,0,No change,2008,
SFI,GMOs,2,0,No change,2008,
SFI,Chemicals,2,0,No change,2008,
SFI,Ecosystem function,2,0,No change,2008,
SFI,Old growth,2,0,No change,2008,
SFI,Clearcutting,2,0,No change,2008,
SFI,Snags and wood,2,0,No change,2008,
SFI,Species diversity,2,0,No change,2008,
SFI,Species at risk,2,0,No change,2008,
SFI,Exotics,2,0,No change,2008,
SFI,Genetic diversity ,2,0,No change,2008,
SFI,Biotech,2,0,No change,2008,
SFI,Natual disturbance,2,0,No change,2008,
SFI,Timber production,2,0,No change,2008,
SFI,NTFP,2,0,No change,2008,
SFI,Residual trees ,2,0,No change,2008,
SFI,Roads ,2,0,No change,2008,
SFI,Tribal land,2,0,No change,2008,
SFI,Special sites,2,0,No change,2008,
SFI,Traditional knowledge,2,0,No change,2008,
SFI,Right to organize,2,0,No change,2008,
SFI,Wages,2,0,No change,2008,
SFI,Health and safety,2,0,No change,2008,
SFI,Public reporting and consultation,2,0,No change,2008,
SFI,Public access,2,0,No change,2008,
SFI,Public lands,2,0,No change,2008,
SFI,Management plan,2,0,No change,2008,
SFI,Monitoring,2,0,No change,2008,
SFI,Conservation Value Forests,2,0,No change,2008,
SFI,Economic viability,2,0,No change,2008,
SFI,Carbon,1,0,No change,2008,
SFI,Plantations,1,0,No change,2008,
SFI,Forest extent,1,0,No change,2008,
SFI,Protected areas,1,0,No change,2008,
SFI,Restoration,1,0,No change,2008,
SFI,Community benefit,1,0,No change,2008,
SFI,Tenure,1,0,No change,2008,
SFI,Impact assessment,1,0,No change,2008,
SFI,Reforestation,3,0,No change,2009,
SFI,Forest law,3,0,No change,2009,
SFI,Utilization,3,1,No change,2009,
SFI,Education,3,1,No change,2009,
SFI,Aesthetics,3,0,No change,2009,
SFI,Training,3,1,No change,2009,
SFI,Ecosystem services,3,0,No change,2009,
SFI,Contual Improvement,3,1,No change,2009,
SFI,Research,3,1,No change,2009,
SFI,Riparian ,3,0,No change,2009,
SFI,Soil,3,0,No change,2009,
SFI,GMOs,2,0,No change,2009,
SFI,Chemicals,2,0,No change,2009,
SFI,Ecosystem function,2,0,No change,2009,
SFI,Old growth,2,0,No change,2009,
SFI,Clearcutting,2,0,No change,2009,
SFI,Snags and wood,2,0,No change,2009,
SFI,Species diversity,2,0,No change,2009,
SFI,Species at risk,2,0,No change,2009,
SFI,Exotics,2,0,No change,2009,
SFI,Genetic diversity ,2,0,No change,2009,
SFI,Biotech,2,0,No change,2009,
SFI,Natual disturbance,2,0,No change,2009,
SFI,Timber production,2,0,No change,2009,
SFI,NTFP,2,0,No change,2009,
SFI,Residual trees ,2,0,No change,2009,
SFI,Roads ,2,0,No change,2009,
SFI,Tribal land,2,0,No change,2009,
SFI,Special sites,2,0,No change,2009,
SFI,Traditional knowledge,2,0,No change,2009,
SFI,Right to organize,2,0,No change,2009,
SFI,Wages,2,0,No change,2009,
SFI,Health and safety,2,0,No change,2009,
SFI,Public reporting and consultation,2,0,No change,2009,
SFI,Public access,2,0,No change,2009,
SFI,Public lands,2,0,No change,2009,
SFI,Management plan,2,0,No change,2009,
SFI,Monitoring,2,0,No change,2009,
SFI,Conservation Value Forests,2,0,No change,2009,
SFI,Economic viability,2,0,No change,2009,
SFI,Carbon,1,0,No change,2009,
SFI,Plantations,1,0,No change,2009,
SFI,Forest extent,1,0,No change,2009,
SFI,Protected areas,1,0,No change,2009,
SFI,Restoration,1,0,No change,2009,
SFI,Community benefit,1,0,No change,2009,
SFI,Tenure,1,0,No change,2009,
SFI,Impact assessment,1,0,No change,2009,
SFI,Reforestation,3,0,No change,2010,
SFI,Forest law,3,0,No change,2010,
SFI,Utilization,3,1,Bacame more prescriptive,2010,5
SFI,Education,3,1,Became more prescriptive,2010,3
SFI,Aesthetics,3,0,Became more prescriptive,2010,1
SFI,Training,3,1,Became more prescriptive,2010,4
SFI,Ecosystem services,3,0,No change,2010,
SFI,Contual Improvement,3,1,No change,2010,
SFI,Research,3,1,No change,2010,
SFI,Riparian ,2,0,Became more prescriptive,2010,?
SFI,Soil,2,0,No change,2010,
SFI,GMOs,2,0,No change,2010,
SFI,Chemicals,2,0,No change,2010,
SFI,Ecosystem function,2,0,No change,2010,
SFI,Old growth,2,0,Became less prescriptive,2010,
SFI,Clearcutting,2,0,No change,2010,
SFI,Snags and wood,2,0,No change,2010,
SFI,Species diversity,2,0,No change,2010,
SFI,Species at risk,2,0,No change,2010,
SFI,Exotics,2,0,No change,2010,
SFI,Genetic diversity ,2,0,No change,2010,
SFI,Biotech,2,0,No change,2010,
SFI,Natual disturbance,2,0,No change,2010,
SFI,Timber production,2,0,No change,2010,
SFI,NTFP,2,0,No change,2010,
SFI,Residual trees ,2,0,No change,2010,
SFI,Roads ,2,0,No change,2010,
SFI,Tribal land,2,0,No change,2010,
SFI,Special sites,2,0,No change,2010,
SFI,Traditional knowledge,2,0,No change,2010,
SFI,Right to organize,2,0,No change,2010,
SFI,Wages,2,0,No change,2010,
SFI,Health and safety,2,0,No change,2010,
SFI,Public reporting and consultation,2,0,Became more prescriptive,2010,2
SFI,Public access,2,0,No change,2010,
SFI,Public lands,2,0,No change,2010,
SFI,Management plan,2,0,Became more prescriptive,2010,? 
SFI,Monitoring,2,0,No change,2010,
SFI,Conservation Value Forests,2,0,No change,2010,
SFI,Economic viability,2,0,No change,2010,
SFI,Carbon,3,0,Became more prescriptive,2010,
SFI,Plantations,1,0,No change,2010,6
SFI,Forest extent,1,0,No change,2010,
SFI,Protected areas,1,0,No change,2010,
SFI,Restoration,1,0,No change,2010,
SFI,Community benefit,1,0,No change,2010,
SFI,Tenure,1,0,No change,2010,
SFI,Impact assessment,1,0,No change,2010,
SFI,Reforestation,3,0,No change,2011,
SFI,Forest law,3,0,No change,2011,
SFI,Utilization,3,1,No change,2011,
SFI,Education,3,1,No change,2011,
SFI,Aesthetics,3,0,No change,2011,
SFI,Training,3,1,No change,2011,
SFI,Ecosystem services,3,0,No change,2011,
SFI,Contual Improvement,3,1,No change,2011,
SFI,Research,3,1,No change,2011,
SFI,Riparian ,2,0,No change,2011,
SFI,Soil,2,0,No change,2011,
SFI,GMOs,2,0,No change,2011,
SFI,Chemicals,2,0,No change,2011,
SFI,Ecosystem function,2,0,No change,2011,
SFI,Old growth,2,0,No change,2011,
SFI,Clearcutting,2,0,No change,2011,
SFI,Snags and wood,2,0,No change,2011,
SFI,Species diversity,2,0,No change,2011,
SFI,Species at risk,2,0,No change,2011,
SFI,Exotics,2,0,No change,2011,
SFI,Genetic diversity ,2,0,No change,2011,
SFI,Biotech,2,0,No change,2011,
SFI,Natual disturbance,2,0,No change,2011,
SFI,Timber production,2,0,No change,2011,
SFI,NTFP,2,0,No change,2011,
SFI,Residual trees ,2,0,No change,2011,
SFI,Roads ,2,0,No change,2011,
SFI,Tribal land,2,0,No change,2011,
SFI,Special sites,2,0,No change,2011,
SFI,Traditional knowledge,2,0,No change,2011,
SFI,Right to organize,2,0,No change,2011,
SFI,Wages,2,0,No change,2011,
SFI,Health and safety,2,0,No change,2011,
SFI,Public reporting and consultation,2,0,No change,2011,
SFI,Public access,2,0,No change,2011,
SFI,Public lands,2,0,No change,2011,
SFI,Management plan,2,0,No change,2011,
SFI,Monitoring,2,0,No change,2011,
SFI,Conservation Value Forests,2,0,No change,2011,
